2020-12-23 10:00:56 INFO  BankService:491 -  LOG: Customer Password Changed
2020-12-23 10:01:07 INFO  BankService:491 -  LOG: Customer Password Changed
2020-12-23 10:04:38 INFO  BankService:242 -  LOG: All Accounts were listed from Database successfully
2020-12-23 10:05:59 INFO  BankService:856 -  LOG: Account changed its status successfully
2020-12-23 10:06:48 INFO  BankService:523 -  LOG: Deposit was done and saved into Database successfully
2020-12-23 10:07:19 INFO  BankService:563 -  LOG: Withdraw was done and saved into Database successfully
2020-12-23 10:08:19 INFO  BankService:624 -  LOG: Transfer was done and saved into Database successfully
2020-12-23 10:08:29 INFO  BankService:242 -  LOG: All Accounts were listed from Database successfully
2020-12-23 10:09:27 INFO  BankService:385 -  LOG: Successful customer login into Database
2020-12-23 10:51:26 WARN  BankService:388 -  LOG: Wrong credentials for customer login
2020-12-23 10:51:39 INFO  BankService:385 -  LOG: Successful customer login into Database
2020-12-23 16:07:06 INFO  BankService:242 -  LOG: All Accounts were listed from Database successfully
2020-12-23 20:07:19 INFO  BankService:242 -  LOG: All Accounts were listed from Database successfully
2020-12-23 20:07:59 INFO  BankService:523 -  LOG: Deposit was done and saved into Database successfully
2020-12-23 20:08:08 INFO  BankService:242 -  LOG: All Accounts were listed from Database successfully
2020-12-23 20:08:36 INFO  BankService:385 -  LOG: Successful customer login into Database
2020-12-23 20:08:53 INFO  BankService:442 -  LOG: Customer Balance was accessed from Databse successfully
2020-12-23 20:13:36 INFO  BankService:242 -  LOG: All Accounts were listed from Database successfully
2020-12-25 20:56:06 INFO  BankService:229 -  LOG: All Accounts were listed from Database successfully
2021-03-05 16:53:37 INFO  BankService:372 -  LOG: Successful customer login into Database
2021-03-05 16:53:44 INFO  BankService:429 -  LOG: Customer Balance was accessed from Databse successfully
2021-03-05 16:54:40 INFO  BankService:510 -  LOG: Deposit was done and saved into Database successfully
2021-03-05 16:54:47 INFO  BankService:429 -  LOG: Customer Balance was accessed from Databse successfully
2021-03-05 16:55:01 INFO  BankService:550 -  LOG: Withdraw was done and saved into Database successfully
2021-03-05 16:55:07 INFO  BankService:429 -  LOG: Customer Balance was accessed from Databse successfully
2021-03-05 16:55:48 INFO  BankService:229 -  LOG: All Accounts were listed from Database successfully
2021-03-05 16:57:32 INFO  BankService:780 -  LOG: Account was updated successfully
